cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,40,44,agent,322,68,0.3295542298126834,0.3518750767011827,0.8617817758418181,0.7923262970095102,1
qwen14B-int4_retail_50runs,int4,1b3fc6a3-ec12-49ae-b727-5fab3bf08d28,42,44,agent,214,34,0.41288997701570657,0.40513203007724685,1.530962402767995,0.814898235932989,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,2,38,agent,40,13,3.2894333419888424,4.489992485904266,6.261607449788314,0.46613275063674486,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,4,38,agent,73,21,3.3700068611437857,3.2854091161117003,5.950750308377402,0.4931002282085285,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,6,38,agent,129,46,0.9151242490638387,1.1750697614000154,1.9382364971806174,0.6418536688918599,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,8,38,agent,19,7,1.4778585122457064,1.7038411555501316,2.6420084152902876,0.46876733411965144,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,10,38,agent,51,13,0.49296486755395874,0.5983733637648136,1.344833981532317,0.7388751241602854,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,12,38,agent,58,15,0.38848242412423734,0.35899888632066573,0.6638848274946213,0.7478553530061378,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,14,38,agent,68,19,0.5166726256617413,0.5602535599280714,1.2025752208734815,0.7340152077116876,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,16,38,agent,58,9,0.3208909599455277,0.25947525581263686,0.9052734648187956,0.8498883529390121,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,18,38,agent,207,40,0.356432843866391,0.35048838539248595,1.0203473173081874,0.8103161886178883,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,20,38,agent,55,16,0.909603097115376,0.8346320272789851,1.7912135990336537,0.6867233823889086,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,22,38,agent,178,25,0.20998564278063916,0.1899361428179666,0.6469920486211777,0.8728621240851492,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,24,38,agent,76,14,0.4342549489642064,0.3743776212995089,1.243705720773765,0.8234499891737492,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,26,38,agent,203,5,0.35296792285227285,0.4426700126789748,13.140762841701507,0.9572042166208217,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,28,38,agent,158,33,0.5370138288649698,0.502007428860472,1.6385251184304555,0.7846504365802909,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,30,38,agent,104,20,0.39975195687135634,0.3055774158618173,1.1632397525012492,0.8299825824840753,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,32,38,agent,97,16,0.5406886240084268,0.35345443191250303,1.269966245163232,0.7970977286811202,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,34,38,agent,152,15,0.24347874078703435,0.16650658755357664,0.9019825145602226,0.870793761437183,1
qwen14B-int4_retail_50runs,int4,4287708a-772a-45c1-850f-0bed0fd939be,36,38,agent,163,17,0.3669729535731582,0.3487120183114511,2.107727554791114,0.8706547924134602,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,2,35,agent,40,14,3.319027607874159,4.592329522208234,6.002324005322797,0.46987520814990874,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,4,35,agent,75,20,3.451129439094549,3.3634726084558624,5.873431338369846,0.4763900188645912,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,6,35,agent,86,31,0.9936822457736801,1.1000182101464935,1.5802974475006903,0.5867801538069408,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,8,35,agent,61,16,3.79123617611807,3.719179449679501,7.590627737343311,0.4335279428166571,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,10,35,agent,55,12,0.4564367297246336,0.6053929745124894,1.3595595819254715,0.7696890776892422,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,12,35,agent,67,16,0.44838840004023206,0.3800425330561711,0.836923036724329,0.732836134495992,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,14,35,agent,34,7,0.3180326487375115,0.3658391998635904,0.787731871008873,0.795231448411497,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,16,35,agent,64,17,0.6371092382007397,0.7062761902621593,1.120170557323624,0.6616203543632282,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,18,35,agent,34,14,0.43993347570430535,0.5516732511967272,0.8305501139589718,0.7114780432588822,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,20,35,agent,52,13,0.3671590134399594,0.42709096395161134,0.814865227502126,0.7674892276203155,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,22,35,agent,30,10,0.45527428719457247,0.4835729162864211,0.8766095273196697,0.7298441519135515,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,24,35,agent,86,23,0.5670954827865459,0.5406336751319957,1.199801214363264,0.6894965758416592,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,26,35,agent,63,22,0.467489729125984,0.4844728279299821,0.7906643216582862,0.7075816876566867,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,28,35,agent,99,30,0.7779337064634002,1.0463968100090755,1.6641627935071786,0.6743526497841481,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,30,35,agent,134,41,2.714742301036135,2.740886810803456,4.671965866735795,0.5320432755633089,1
qwen14B-int4_retail_50runs,int4,780d34d9-b407-4a4c-9dfe-ec2798dfc3ce,33,35,agent,18,0,0.587033634057691,0.6317617317106894,,0.8866027411242752,1
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,2,44,agent,76,28,2.6575961861344215,3.6508217983341744,4.78609146337424,0.4740338172095271,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,4,44,agent,71,19,3.5429399538551607,3.498556071734514,6.907698074453755,0.5193458047792373,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,6,44,agent,87,27,0.6398806716751676,0.7294094243829539,1.291002337027479,0.704889962569618,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,8,44,agent,23,11,1.5549891561107791,2.0894424427533522,2.7449146698821676,0.5072391185741525,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,10,44,agent,78,12,0.35008231836673165,0.2627379473776816,1.0986758172512054,0.8336882519175415,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,12,44,agent,41,10,0.7021280228835842,0.8855491630552427,2.6585884228348733,0.7873968057804613,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,14,44,agent,75,16,0.3749364403328703,0.27302903562593883,0.6654163072817028,0.7575295693711283,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,16,44,agent,36,6,0.16074020289318547,0.21118798758816784,0.8299205303192139,0.9002537512128086,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,18,44,agent,96,23,0.3226354905338982,0.30044465658124553,0.6657021755109662,0.8143125421497617,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,20,44,agent,119,31,0.3967264951879215,0.4294169681072793,0.8660911523526714,0.7617689671421667,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,22,44,agent,83,15,0.29275466761034635,0.3403427844331072,1.2804868832230567,0.8507917554615084,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,24,44,agent,106,19,0.20484010564217722,0.21816428452600625,0.5791319475362176,0.8609956730944621,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,26,44,agent,61,10,0.14484901550668067,0.1577280682707395,0.6064860537648201,0.8994730834051898,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,28,44,agent,166,27,0.3599056104121157,0.37714518633317107,1.6669705714340564,0.8517563133828729,0
qwen14B-int4_retail_50runs,int4,387e6df6-f634-464f-ad06-830d7863d98e,30,44,agent,172,16,0.3066072921121013,0.3190211576684459,2.2222903757356107,0.8873052083743385,0
