cell,traj_id,step_idx,U,da,label_fail
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,27,0.1296033034440317,0.2435776671537986,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,29,0.13552710354818415,0.14448718502096933,0
qwen14B-int4_airline_50runs,7409f83a-dea4-4606-9d22-ffa58355cb81,31,0.05164895463866581,0.34548587799072267,0
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,0,,,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,2,0.30250494423032454,0.0,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,4,0.2613331007709132,0.20584120405347722,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,6,0.3971826243351237,0.16517027178589178,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,8,0.1658646064058908,0.1918926239013672,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,10,0.12921985289284907,0.16734708187191985,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,12,0.1573400928224142,0.11132462059750277,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,14,0.19949692423037022,0.16536055753628415,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,16,0.17083340864886598,0.3623913873600054,1
qwen14B-int4_airline_50runs,bbcf19f5-964f-4fc8-a2a9-2c2310c778eb,18,0.23013454204227954,0.24806915833191437,1
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,0,,,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,2,0.3857213249815781,0.0,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,4,0.21995933230418327,0.09785681421106512,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,6,0.4150624048919606,0.10604150478656477,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,8,0.31763926946073945,0.19485008072208715,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,10,0.0033419061769435045,0.011731213331222535,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,12,0.35733911282214853,0.1736456469485634,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,14,0.03256744660517213,0.4863350987434387,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,16,0.3185944693935048,0.4689774811267853,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,18,0.10849834311131289,1.0,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,20,0.37089555460961904,0.3775915337933434,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,22,0.11340754759875306,0.3265164115212181,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,24,0.19465610169597972,0.1336864779392878,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,26,0.23744081606926576,0.10301972402108683,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,28,0.11553469909768899,0.17771164455064914,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,30,0.06961620724749763,0.11433776955545684,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,32,0.057413367933459705,0.08549684948391384,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,34,0.134944075109587,0.2255635176386152,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,36,0.057081321024121716,0.6028897102062519,0
qwen14B-int4_airline_50runs,cc411023-3bae-4869-bbd0-db8c61c1af1a,38,0.09549538373984669,0.2375186797111265,0
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,0,,,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,2,0.3902874364373394,0.0,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,4,0.29065613237639704,0.16697200922898842,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,6,0.0026381875834137042,0.0,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,8,0.20279973688004505,0.13067763740733518,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,10,0.0003631861397718999,0.4609947204589844,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,12,0.219774134883758,0.17584766992708534,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,14,0.00043273524893194804,0.4717661738395691,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,16,0.09360808755556531,0.826030973593394,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,18,0.0015478419093614296,0.46143680810928345,1
qwen14B-int4_airline_50runs,6351f188-9ebd-429f-b098-39fb2b36a92d,20,0.10989664140048169,0.6391732967816867,1
qwen14B-int4_airline_50runs,967f992d-dc4b-4908-bd3b-444545f7d62d,0,,,1
qwen14B-int4_airline_50runs,967f992d-dc4b-4908-bd3b-444545f7d62d,2,0.3632425149912887,0.0,1
qwen14B-int4_airline_50runs,967f992d-dc4b-4908-bd3b-444545f7d62d,4,0.010052103132857109,0.0,1
qwen14B-int4_airline_50runs,967f992d-dc4b-4908-bd3b-444545f7d62d,6,0.32973950949436065,0.14007278203964235,1
qwen14B-int4_airline_50runs,967f992d-dc4b-4908-bd3b-444545f7d62d,8,0.029401150365695537,0.05840134699093668,1
qwen14B-int4_airline_50runs,967f992d-dc4b-4908-bd3b-444545f7d62d,16,0.25900626302515956,0.16549539893538087,1
qwen14B-int4_airline_50runs,967f992d-dc4b-4908-bd3b-444545f7d62d,18,0.30584861935387336,0.29744382415499004,1
qwen14B-int4_airline_50runs,967f992d-dc4b-4908-bd3b-444545f7d62d,20,0.26872154336760296,0.11448068171739578,1
qwen14B-int4_airline_50runs,9ca032eb-411b-46cc-8b80-33aac1249bab,0,,,0
qwen14B-int4_airline_50runs,9ca032eb-411b-46cc-8b80-33aac1249bab,2,0.3062430864331784,0.0,0
qwen14B-int4_airline_50runs,9ca032eb-411b-46cc-8b80-33aac1249bab,4,0.2532125972300168,0.0,0
qwen14B-int4_airline_50runs,9ca032eb-411b-46cc-8b80-33aac1249bab,7,0.3609189734756788,0.09880569631403142,0
qwen14B-int4_airline_50runs,9ca032eb-411b-46cc-8b80-33aac1249bab,9,0.026828432437782407,0.18653612787073307,0
qwen14B-int4_airline_50runs,9ca032eb-411b-46cc-8b80-33aac1249bab,13,0.22217249071447367,0.0698589988052845,0
qwen14B-int4_airline_50runs,9ca032eb-411b-46cc-8b80-33aac1249bab,15,0.3437763574751637,0.08119703663720025,0
qwen14B-int4_airline_50runs,9ca032eb-411b-46cc-8b80-33aac1249bab,17,0.2140057900016528,0.09926905114966703,0
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,0,,,1
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,2,0.2567950209850486,0.0,1
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,4,0.3855091196204113,0.07362041608342584,1
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,6,0.3994732401857593,0.17640373424479835,1
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,8,0.16593507736277766,0.09807740611794553,1
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,10,0.25675289536191404,0.15709650867125566,1
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,12,0.3376104474699458,0.19105493535800855,1
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,14,0.34865555504493906,0.10488612055778503,1
qwen14B-int4_airline_50runs,a66b2183-b183-4bd2-9179-f06e50aaae74,16,0.16866137911915804,0.15360900163650515,1
