cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,28,30,agent,0.5484747886657715,0.018518518518518517,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,0c9e1013-eb30-4ca9-b854-ee9a16e8562c,29,30,user,,,,,,0.3685823678970337,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,0,28,agent,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,1,28,user,,,,,,0.5178263485431671,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,2,28,agent,0.4961603581905365,0.0,0.0,0.3360164761543274,-0.08422340287102592,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,3,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,4,28,agent,0.537368655204773,0.04081632653061224,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,5,28,user,,,,,,0.5574523508548737,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,6,28,agent,0.840673565864563,0.4666666666666667,0.0,0.38180649280548096,-0.013590070936414955,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,7,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,8,28,agent,0.9640694856643677,0.6923076923076923,0.0,0.38244009017944336,-0.026384082105424644,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,9,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,10,28,agent,0.958605945110321,0.6923076923076923,0.0,0.3735775351524353,-0.027209891213311077,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,11,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,12,28,agent,0.9624843597412109,0.6923076923076923,0.0,0.3859463930130005,-0.0117405851682027,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,13,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,14,28,agent,0.973717212677002,0.6923076923076923,0.0,0.38297808170318604,-0.026905053191714823,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,15,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,16,28,agent,0.9678500294685364,0.6923076923076923,0.0,0.3951925039291382,-0.009772386815812828,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,17,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,18,28,agent,0.9827132821083069,0.6923076923076923,0.0,0.3856639266014099,-0.025604042741987465,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,19,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,20,28,agent,0.5023651123046875,0.009708737864077669,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,21,28,user,,,,,,0.18602979183197021,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,22,28,agent,0.8833922743797302,0.5714285714285714,0.0,0.3711947202682495,-0.050498512056138756,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,23,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,24,28,agent,0.9655753374099731,0.6923076923076923,0.0,0.4018571972846985,-0.017568224006228983,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,25,28,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,26,28,agent,0.6049701571464539,0.017543859649122806,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,709ad87c-ee8c-434f-970c-3e06c7284dbc,27,28,user,,,,,,0.48776012659072876,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,0,22,agent,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,1,22,user,,,,,,0.5003263056278229,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,2,22,agent,0.5631082057952881,0.13333333333333333,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,3,22,user,,,,,,0.37520259618759155,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,4,22,agent,0.6139085292816162,0.02702702702702703,0.0,0.32010596990585327,-0.059605872631072976,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,5,22,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,6,22,agent,0.6724997162818909,0.2553191489361702,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,7,22,user,,,,,,0.1307220458984375,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,8,22,agent,0.8359943628311157,0.4666666666666667,0.4666666666666667,0.4029202461242676,0.007325077056884788,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,9,22,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,10,22,agent,0.9829180836677551,0.6923076923076923,0.0,0.39580661058425903,-0.0012819170951843262,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,11,22,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,12,22,agent,0.9851203560829163,0.6923076923076923,0.0,0.37735408544540405,-0.02922229766845702,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,13,22,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,14,22,agent,0.9803940057754517,0.6923076923076923,0.0,0.38460683822631836,-0.019946312904357888,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,15,22,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,16,22,agent,0.5424937009811401,0.031746031746031744,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,17,22,user,,,,,,0.2558826208114624,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,18,22,agent,0.9051872491836548,0.6923076923076923,0.6923076923076923,0.3811246156692505,-0.05113837718963621,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,19,22,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,20,22,agent,0.73485267162323,0.3,0.0,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,5355c4fe-e8f5-48cf-878e-335b9b86ac8f,21,22,user,,,,,,0.5343171656131744,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,d64d1ea0-ee90-4a86-8482-0dcee71a5ead,0,20,agent,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,d64d1ea0-ee90-4a86-8482-0dcee71a5ead,1,20,user,,,,,,0.5368809998035431,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,d64d1ea0-ee90-4a86-8482-0dcee71a5ead,2,20,agent,0.48145127296447754,0.07142857142857142,0.0,0.37204086780548096,-0.11747492849826813,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,d64d1ea0-ee90-4a86-8482-0dcee71a5ead,3,20,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,d64d1ea0-ee90-4a86-8482-0dcee71a5ead,4,20,agent,0.7173717021942139,0.2,0.0,0.5923590660095215,0.13972913473844528,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,d64d1ea0-ee90-4a86-8482-0dcee71a5ead,5,20,tool,,,,,,,0,1
